21/03/2012 | 14:02:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0002 | AGE0000 - gfAbrBasDadosAccessM: lComando = Driver={Microsoft Access Driver (*.mdb)};Dbq=C:\User_c\Projetos\P46V101\P00APOL.MDB pIndBasDados=P00APOL
21/03/2012 | 14:02:31 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0003 | AGE0000 - gfAbrBasDadosAccessM: lComando = Driver={Microsoft Access Driver (*.mdb)};Dbq=C:\User_c\Projetos\P46V101\P0045200.MDB pIndBasDados=P0045200
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0004 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0005 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0006 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0007 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0008 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0009 | Buscou Syasedi.exe
21/03/2012 | 14:02:35 | XXXXXXXXXXXXXXXXXXXX | WI511200FSLU229  | YASUDA       | 0010 | Buscou Syasedi.exe
21/03/2012 | 14:02:52 | 553553               | WI511200FSLU229  | yasuda       | 0001 | AGE0000 - gfAbrBasDadosAccessM: lComando = Driver={Microsoft Access Driver (*.mdb)};Dbq=C:\User_c\Projetos\P46V101\P00MULTI.MDB pIndBasDados=P00MULTI
21/03/2012 | 14:02:52 | 553553               | WI511200FSLU229  | yasuda       | 0002 | AGE0000 - gfAbrBasDadosAccessM: lComando = Driver={Microsoft Access Driver (*.mdb)};Dbq=C:\User_c\Projetos\P46V101\P00APOL.MDB pIndBasDados=P00APOL
21/03/2012 | 14:02:52 | 553553               | WI511200FSLU229  | yasuda       | 0003 | AGE0000 - gfAbrBasDadosAccessM: lComando = Driver={Microsoft Access Driver (*.mdb)};Dbq=C:\User_c\Projetos\P46V101\P0045200.MDB pIndBasDados=P0045200
